time,note,velocity
0,40,90
0.003980895833333334,50,88
0.003980895833333334,52,94
0.003980895833333334,55,100
0.003980895833333334,62,95
0,36,87
0.003980895833333334,43,97
0.003980895833333334,48,93
0.003980895833333334,52,96
0.003980895833333334,57,91
0,40,93
0.003980895833333334,43,92
0.003980895833333334,50,95
0.003980895833333334,52,88
0.003980895833333334,59,91
0,38,88
0.003980895833333334,45,99
0.003980895833333334,48,98
0.003980895833333334,52,95
0.003980895833333334,55,89
0,40,88
0.003980895833333334,50,91
0.003980895833333334,52,96
0.003980895833333334,55,88
0.003980895833333334,59,98
0.003980895833333334,62,89
0,36,95
0.003980895833333334,43,94
0.003980895833333334,48,94
0.003980895833333334,52,95
0.003980895833333334,57,96
0,40,98
0.003980895833333334,43,88
0.003980895833333334,50,98
0.003980895833333334,52,97
0.003980895833333334,59,98
0,38,92
0.003980895833333334,45,88
0.003980895833333334,48,100
0.003980895833333334,52,90
0.003980895833333334,55,93
